,County,Year,ShelterID,BusName,City,Zip,License Type,DogSold,PupSold,CatSold,KitSold,ExoticSold,BegInvDog,DogRec,DogAdopt,DogReclaim,DogEuth,EndInvDogs,BegInvCat,CatRec,CatsAdopt,CatsReclaim,CatEuth,EndInvCats,BegInvOther,OtherRec,OtherAdopt,OtherReclaim,OtherEuth,EndInvOther,AllRec,AllAdopt,AllReclaim,AllEuth
0,Adams,2012,5531,Adams County Animal Shelter,Quincy,62305,Animal Control,,,,,,0,140,81,59,1,0,0,1,1,,,0,0,1,,1,,0,142,82,60,1
1,Adams,2010,5531,Adams County Animal Shelter,Quincy,62305,Animal Control,,,,,,,295,223,65,7,,,26,26,0,0,,,10,4,1,5,,331,253,66,12
2,Adams,2011,5531,Adams County Animal Shelter,Quincy,62305,Animal Control,,,,,,0,250,147,95,8,0,0,7,6,0,1,0,0,10,1,0,9,,267,154,95,18
3,Adams,2014,5531,Adams County Animal Shelter,Quincy,62305,Animal Control,,,,,,0,184,65,86,9,0,0,12,12,,,0,0,1,1,,,0,197,78,86,9
4,Adams,2012,13357,City of Quincy Animal Shelter,Quincy,62301,Animal Control,,,,,,,563,245,265,53,,,460,272,21,167,,,6,4,0,2,,1029,521,286,222
5,Adams,2010,13357,City of Quincy Animal Shelter,Quincy,62301,Animal Control,,,,,,,531,266,265,141,,,757,85,24,648,,,29,27,0,2,,1317,378,289,791
6,Adams,2011,13357,City of Quincy Animal Shelter,Quincy,62301,Animal Control,,,,,,,907,385,386,136,,,851,284,33,534,,,14,8,0,6,,1772,677,419,676
7,Adams,2012,13814,Homeward Bound Waggin' Inc.,Quincy,62301,Animal Shelter,,,,,,0,,,0,,,0,,,0,,,,,,,,,0,0,0,0
8,Adams,2012,5700,Quincy Humane Society,Quincy,62305,Animal Shelter,,,,,,24,486,5,0,5,35,24,316,264,,21,50,0,,,,,,802,269,0,26
9,Adams,2010,5700,Quincy Humane Society,Quincy,62305,Animal Shelter,,,,,,,593,253,4,4,,,347,321,0,27,,,26,25,0,1,,966,599,4,32
10,Adams,2011,5700,Quincy Humane Society,Quincy,62305,Animal Shelter,,,,,,32,594,575,4,4,36,31,347,321,0,27,32,32,37,34,0,1,3,978,930,4,32
11,Adams,2012,14089,Quincy K-9 Connection,Quincy,62305,Animal Shelter,,,,,,53,,,,,,,,,,,,,,,,,,0,0,0,0
12,Adams,2010,14089,Quincy K-9 Connection,Quincy,62305,Animal Shelter,,,,,,,24,,,,,,,,,,,,,,,,,24,0,0,0
13,Adams,2011,14089,Quincy K-9 Connection,Quincy,62305,Animal Shelter,,,,,,42,,,,,,,,,,,,,,,,,,0,0,0,0
14,Adams,2014,14527,Homeward Bound Waggin' Inc.,Quincy,62301,Animal Shelter,0,0,0,0,0,0,255,16,1,1,5,0,91,10,12,1,6,0,0,0,0,0,0,346,26,13,2
15,Adams,2013,13357,City of Quincy Animal Shelter,Quincy,62301,,,,,,,,516,232,243,41,,,503,180,13,310,,,15,7,1,7,,1034,419,257,358
16,Adams,2013,5531,Adams County Animal Shelter,Quincy,62305,Animal Control,,,,,,0,161,68,86,7,0,0,2,2,,,0,0,,,,,0,163,70,86,7
17,Adams,2013,13814,Homeward Bound Waggin' Inc.,Quincy,62301,Animal Shelter,0,0,0,0,0,0,242,0,0,0,0,0,77,0,0,0,77,0,0,0,0,0,0,319,0,0,0
18,Adams,2014,5700,Quincy Humane Society,Quincy,62305,Animal Shelter,,,,,,27,427,408,0,3,43,34,384,374,,24,17,0,,,,,,811,782,0,27
19,Adams,2013,5700,Quincy Humane Society,Quincy,62305,Animal Shelter,,,,,,27,402,409,0,2,27,24,364,323,0,26,34,0,,,,,,766,732,0,28
20,Adams,2014,14089,Quincy K-9 Connection,Quincy,62305,Animal Shelter,,,,,,48,,,,,,,,,,,,,,,,,,0,0,0,0
21,Adams,2013,14089,Quincy K-9 Connection,Quincy,62305,Animal Shelter,,,,,,61,,,,,,,,,,,,,,,,,,0,0,0,0
22,Adams,2014,14527,Homeward Bound Waggin' Inc.,Quincy,62301,Animal Shelter,0,0,0,0,0,0,255,16,1,1,5,0,91,10,12,1,6,0,0,0,0,0,0,346,26,13,2
23,Adams,2014,14089,Quincy K-9 Connection,Quincy,62305-4723,Animal Shelter,,,,,,48,,,,,,,,,,,,,,,,,,0,0,0,0
24,Adams,2014,5700,Quincy Humane Society,Quincy,62301-3318,Animal Shelter,,,,,,27,427,408,0,3,43,34,384,374,,24,17,0,,,,,,811,782,0,27
25,Adams,2014,5531,Adams County Animal Shelter,Quincy,62305-7666,Animal Control Facility,,,,,,0,184,65,86,9,0,0,12,12,,,0,0,1,1,,,0,197,78,86,9
26,Adams,2014,13357,City of Quincy Animal Shelter,Quincy,62301-3306,Animal Shelter & Animal Control Facility,,,,,,,524,234,238,52,,,529,186,28,315,,,7,5,0,2,,1060,425,266,369
27,Adams,2014,13357,City of Quincy Animal Shelter,Quincy,62301,Animal Control,,,,,,,524,234,238,52,,,529,186,28,315,,,7,5,0,2,,1060,425,266,369
28,Adams,2013,13814,Homeward Bound Waggin' Inc.,Quincy,62301,Animal Shelter,0,0,0,0,0,0,242,0,0,0,0,0,77,0,0,0,77,0,0,0,0,0,0,319,0,0,0
29,Adams,2013,5700,Quincy Humane Society,Quincy,62305,Animal Shelter,,,,,,27,402,409,0,2,27,24,364,323,0,26,34,0,,,,,,766,732,0,28
30,Adams,2013,14089,Quincy K-9 Connection,Quincy,62305,Animal Shelter,,,,,,61,,,,,,,,,,,,,,,,,,0,0,0,0
31,Alexander,2010,5629,Cairo Animal Control,Cairo,62914,Animal Control,,,,,,,30,0,0,30,,,0,0,0,0,,,0,0,0,0,,30,0,0,30
32,Bond,2012,12864,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,,,,,,,76,61,75,1,12,47,,,,,,,61,75,1,12
33,Bond,2012,14187,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,11,43,44,0,0,10,,,,,,,,,,,,,43,44,0,0
34,Bond,2010,12864,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,,,,,,,,61,52,0,4,,,,,,,,61,52,0,4
35,Bond,2010,13001,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,,46,46,0,0,,,,,,,,,,,,,,46,46,0,0
36,Bond,2011,14187,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,2,62,48,0,1,13,,,,,,,,,,,,,62,48,0,1
37,Bond,2011,12864,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,,,,,,,45,85,67,1,7,27,,,,,,,85,67,1,7
38,Bond,2012,4351,Bond County/City of Greenville,Greenville,62246,Animal Control,,,,,,0,148,9,46,93,0,40,0,2,38,0,0,0,0,0,0,0,0,148,11,84,93
39,Bond,2013,4351,Bond County/City of Greenville,Greenville,62246,Animal Control,0,0,0,0,0,1,62,0,20,28,0,0,15,0,0,15,0,0,0,0,0,0,0,77,0,20,43
40,Bond,2010,4351,Bond County/City of Greenville,Greenville,62246,Animal Control,,,,,,,189,,66,108,,,40,,1,39,,,0,0,0,0,,229,0,67,147
41,Bond,2011,4351,Bond County/City of Greenville,Greenville,62246,Animal Control,,,,,,5,159,14,70,71,4,0,,,,,,0,,,,,,159,14,70,71
42,Bond,2013,12864,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,,,,,,,45,69,85,0,0,29,,,,,,,69,85,0,0
43,Bond,2013,14187,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,8,44,52,0,0,0,,,,,,,,,,,,,44,52,0,0
44,Bond,2014,4351,Bond County/City of Greenville,Greenville,62246,Animal Control,0,0,0,0,0,4,85,36,23,23,3,0,12,10,0,1,1,0,1,2,,1,0,98,48,23,25
45,Bond,2014,12864,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,,,,,,,30,80,74,1,2,33,,,,,,,80,74,1,2
46,Bond,2014,14187,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,9,55,44,0,1,19,,,,,,,,,,,,,55,44,0,1
47,Bond,2014,14187,Bond County Humane Society,Greenville,62246-2626,Animal Shelter,,,,,,9,55,44,0,1,19,,,,,,,,,,,,,55,44,0,1
48,Bond,2014,12864,Bond County Humane Society,Greenville,62246-2617,Animal Shelter,,,,,,,,,,,,30,80,74,1,2,33,,,,,,,80,74,1,2
49,Bond,2014,4351,Bond County Animal Control,Greenville,62246,Animal Control Facility,0,0,0,0,0,4,85,36,23,23,3,0,12,10,0,1,1,0,1,0,,1,0,98,46,23,25
50,Bond,2013,12864,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,,,,,,,45,69,85,0,0,29,,,,,,,69,85,0,0
51,Bond,2013,14187,Bond County Humane Society,Greenville,62246,Animal Shelter,,,,,,8,44,52,0,0,0,,,,,,,,,,,,,44,52,0,0
52,Boone,2010,13500,Bertell Farms,Belvidere,61008,Animal Shelter,,,,,,,,,,1,,,2,,,,,,5,5,,,,7,5,0,1
53,Boone,2010,3508,Boone County Animal Control,Belvidere,61008,Animal Control,,,,,,,416,40,286,90,,,39,0,0,39,,,12,2,0,10,,467,42,286,139
54,Boone,2011,3508,Boone County Animal Control,Belvidere,61008,Animal Control,,,,,,,403,101,199,103,0,,37,1,0,36,0,,18,2,,16,0,458,104,199,155
