index,County,Year,ShelterID,BusName,City,Zip,License Type,DogSold,PupSold,CatSold,KitSold,ExoticSold,BegInvDog,DogRec,DogAdopt,DogReclaim,DogEuth,EndInvDogs,BegInvCat,CatRec,CatsAdopt,CatsReclaim,CatEuth,EndInvCats,BegInvOther,OtherRec,OtherAdopt,OtherReclaim,OtherEuth,EndInvOther,AllRec,AllAdopt,AllReclaim,AllEuth
120,Carroll,2014,15,Carroll County Animal Pound,Mount Carroll,61053-9052,0,0,0,0,0,0,6,63,32,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,63,32,33,2
162,Champaign,2014,22,Rantoul Dog Pound,Rantoul,61866-2700,0,0,0,0,0,0,0,62,0,0,0,62,0,42,0,0,0,42,0,0,0,0,0,42,104,0,0,0
178,Christian,2014,29,Christian County Animal Control,Taylorville,62568-9381,Animal Shelter,0,0,0,0,0,0,172,89,61,22,0,0,37,34,3,0,0,0,0,0,0,0,0,209,123,64,22
198,Clark,2014,31,City of Casey,Casey,62420-0425,Animal Control Facility,0,0,0,0,0,0,46,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,24,0
797,Edgar,2014,169,Edgar County Animal Control,Paris,61944-0381,Animal Control Facility,55,0,0,0,0,14,265,55,67,26,16,0,0,0,0,0,0,0,0,0,0,0,0,265,55,67,26
818,Effingham,2014,171,Effingham County Animal Control,Effingham,62401-4080,0,86,6,10,24,0,9,258,92,61,108,6,4,145,34,10,91,14,0,1,0,0,1,0,404,126,71,200
852,Fulton,2014,189,Fulton County Animal Control,Canton,61520,Animal Control Facility,0,0,0,0,0,0,419,250,94,22,0,0,246,400,1,8,0,0,0,0,0,0,0,665,650,95,30
991,Jackson,2014,204,Humane Society of Southern Illinois,Carbondale,62903-0291,Animal Shelter,0,0,0,0,0,21,787,117,197,342,16,33,1236,146,14,1038,27,0,79,5,0,43,1,2102,268,211,1423
1641,McDonough,2014,266,McDonough County Animal Shelter,redacted,0,Animal Control Facility,0,0,0,0,0,16,483,146,129,10,179,35,775,115,12,160,384,0,0,0,0,0,0,1258,261,141,170
1569,Madison,2014,299,Madison County Rabies Control,Edwardsville,62025-6803,0,0,0,0,0,0,12,1076,281,261,488,20,6,1542,338,32,1154,19,0,0,0,0,0,0,2618,619,293,1642
1589,Marion,2014,310,City of Centralia,Centralia,62801-3524,Animal Control Facility,0,0,0,0,0,0,635,30,131,87,0,0,277,6,4,2,0,0,0,0,0,0,0,912,36,135,89
1630,Massac,2014,320,Metropolis Animal Control,Metropolis,62960-0682,Animal Control Facility,0,0,0,0,0,7,262,159,92,5,6,0,0,0,0,0,0,0,0,0,0,0,0,262,159,92,5
1801,Morgan,2014,325,Morgan County Animal Control,Jacksonville,62650-1200,Animal Control Facility,0,0,0,0,0,0,533,95,0,12,0,0,471,69,0,9,0,0,0,0,0,0,0,1004,164,0,21
1935,Randolph,2014,352,Sparta Animal Control,Sparta,62286-1666,Animal Control Facility,0,0,0,0,0,0,35,0,25,10,0,0,15,0,0,15,0,0,0,0,0,0,0,50,0,25,25
1947,Richland,2014,356,Richland Co Animal Control Center,Olney,62450,0,0,0,0,0,0,8,345,13,57,27,274,17,203,8,1,60,151,0,0,0,0,0,0,548,21,58,87
2021,Schuyler,2014,396,Schuyler County Dog Pound,Rushville,62681-0200,Animal Control Facility,0,0,0,0,0,0,76,11,58,7,0,0,3,0,1,2,0,0,0,0,0,0,0,79,11,59,9
2117,Stephenson,2014,399,"Freeport Animal Hospital, Inc.",Freeport,61032-9694,Animal Control Facility,12,10,45,60,0,4,203,99,46,17,45,15,107,52,14,48,8,0,0,0,0,0,0,310,151,60,65
2118,Stephenson,2014,400,Freeport City Pound,Freeport,61032,Animal Control Facility,0,0,0,0,0,208,208,99,100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,208,99,100,9
2132,Tazewell,2014,408,Tazewell Animal Protective Society,Pekin,61554-2007,Animal Shelter,0,0,0,0,0,71,740,750,2,0,59,118,592,624,3,0,83,0,0,0,0,0,0,1332,1374,5,0
2162,Vermilion,2014,415,Humane Society of Danville,Danville,61832-3110,Animal Shelter,40,3,40,0,0,21,65,79,0,0,7,19,45,49,0,0,15,0,0,0,0,0,0,110,128,0,0
2173,Wabash,2014,418,Wabash County Animal Control,Mount Carmel,62863-4413,Animal Control Facility,0,0,0,0,0,301,301,21,43,3,0,325,325,60,2,8,0,0,0,0,0,0,0,626,81,45,11
1217,Kendall,2014,478,Kendall County Animal Control,Yorkville,60560-9271,Animal Control Facility,0,0,0,0,0,17,354,102,223,29,14,12,105,49,39,12,8,0,2,2,0,0,0,461,153,262,41
