,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
0,1,Adams,2010,5531,Adams County Animal Shelter,Quincy,62305,Animal Control,0,0,0,0,0,0,295,223,65,7,0,0,26,26,0,0,0,0,10,4,1,5,0,331,253,66,12,0,Adams,2012,Adams County Animal Shelter,Quincy,62305,Animal Control,0,0,0,0,0,0,140,81,59,1,0,0,1,1,0,0,0,0,1,0,1,0,0,142,82,60,1
1,5,Adams,2010,13357,City of Quincy Animal Shelter,Quincy,62301,Animal Control,0,0,0,0,0,0,531,266,265,141,0,0,757,85,24,648,0,0,29,27,0,2,0,1317,378,289,791,4,Adams,2012,City of Quincy Animal Shelter,Quincy,62301,Animal Control,0,0,0,0,0,0,563,245,265,53,0,0,460,272,21,167,0,0,6,4,0,2,0,1029,521,286,222
2,9,Adams,2010,5700,Quincy Humane Society,Quincy,62305,Animal Shelter,0,0,0,0,0,0,593,253,4,4,0,0,347,321,0,27,0,0,26,25,0,1,0,966,599,4,32,8,Adams,2012,Quincy Humane Society,Quincy,62305,Animal Shelter,0,0,0,0,0,24,486,5,0,5,35,24,316,264,0,21,50,0,0,0,0,0,0,802,269,0,26
3,12,Adams,2010,14089,Quincy K-9 Connection,Quincy,62305,Animal Shelter,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,11,Adams,2012,Quincy K-9 Connection,Quincy,62305,Animal Shelter,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,34,Bond,2010,12864,Bond County Humane Society,Greenville,62246,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,61,52,0,4,0,0,0,0,0,0,0,61,52,0,4,32,Bond,2012,Bond County Humane Society,Greenville,62246,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,76,61,75,1,12,47,0,0,0,0,0,0,61,75,1,12
5,40,Bond,2010,4351,Bond County/City of Greenville,Greenville,62246,Animal Control,0,0,0,0,0,0,189,0,66,108,0,0,40,0,1,39,0,0,0,0,0,0,0,229,0,67,147,38,Bond,2012,Bond County/City of Greenville,Greenville,62246,Animal Control,0,0,0,0,0,0,148,9,46,93,0,40,0,2,38,0,0,0,0,0,0,0,0,148,11,84,93
6,53,Boone,2010,3508,Boone County Animal Control,Belvidere,61008,Animal Control,0,0,0,0,0,0,416,40,286,90,0,0,39,0,0,39,0,0,12,2,0,10,0,467,42,286,139,55,Boone,2012,Boone County Animal Services,Belvidere,61008,Animal Control,0,0,0,0,0,0,368,77,199,92,0,0,85,39,0,46,0,0,0,0,0,0,0,453,116,199,138
7,58,Boone,2010,12181,Fresh Start Animal Rescue Inc.,Belvidere,61008,Animal Shelter,0,0,0,0,0,0,476,422,0,2,0,0,133,129,0,3,0,0,0,0,0,0,0,609,551,0,5,57,Boone,2012,Fresh Start Animal Rescue Inc.,Belvidere,61008,Animal Shelter,0,0,0,0,0,25,360,337,0,8,40,16,175,147,1,1,26,0,16,15,0,0,1,551,499,1,9
8,61,Boone,2010,7126,Roscoe Animal Retreat,Roscoe,61073,Animal Shelter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,Boone,2012,Roscoe Animal Retreat,Roscoe,61073,Animal Shelter,0,0,0,0,0,25,12,10,2,0,15,250,25,24,1,0,250,0,0,0,0,0,0,37,34,3,0
9,75,Brown,2010,8899,City of Mt. Sterling,Mt. Sterling,62353,Kennel Operator,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0, ,14,0,14,0,74,Brown,2012,City of Mt. Sterling,Mt. Sterling,62353,Animal Control,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0
10,78,Brown,2010,10161,Village of Versailles,Versailles,62378,Animal Control,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77,Brown,2012,Village of Versailles,Versailles,62378,Animal Control,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
11,90,Bureau,2010,9990,Bureau County Animal Control,Princeton,61356,Animal Control,0,0,0,0,0,0,105,53,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,105,53,30,22,89,Bureau,2012,Bureau County Animal Control,Princeton,61356,Animal Control,0,0,0,0,0,0,74,34,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,74,34,31,9
12,93,Bureau,2010,8180,Friends Of Strays Inc.,Princeton,61356,Animal Shelter,0,0,0,0,0,0,117,111,0,0,0,0,252,227,0,14,0,0,7,7,0,0,0,376,345,0,14,92,Bureau,2012,Friends Of Strays Inc.,Princeton,61356,Animal Shelter,80,21,107,83,0,35,106,106,0,1,29,402,199,190,0,22,371,0,0,0,0,0,0,305,296,0,23
13,107,Calhoun,2010,14049,Andrea's Adoptive Puppies,Hardin,62047,Animal Shelter,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,105,Calhoun,2012,Andrea's Adoptive Puppies,Hardin,62047,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
14,113,Carroll,2010,15,Carroll County Animal Pound,Mt. Carroll,61053,Animal Control,0,0,0,0,0,0,111,61,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,111,61,41,3,112,Carroll,2012,Carroll County Animal Pound,Mt. Carroll,61053,Animal Control,0,0,0,0,0,1,82,39,28,11,5,0,0,0,0,0,0,0,0,0,0,0,0,82,39,28,11
15,116,Carroll,2010,11883,Heartland Pet Welfare Inc.,Savanna,61074,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,120,105,1,5,0,0,0,0,0,0,0,120,105,1,5,115,Carroll,2012,Heartland Pet Welfare Inc.,Savanna,61074,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,63,112,121,0,1,53,0,0,0,0,0,0,112,121,0,1
16,123,Cass,2010,3598,Cass County Animal Control,Virginia,62691,Animal Control,0,0,0,0,0,0,0,226,128,61,36,0,0,0,0,0,0,0,0,0,0,0,0,0,226,128,61,122,Cass,2012,Cass County Animal Control,Virginia,62691,Animal Control,0,0,0,0,0,0,187,81,43,59,0,0,0,0,0,0,0,0,0,0,0,0,0,187,81,43,59
17,132,Champaign,2010,11702,Catsnap,Champaign,61820,Animal Shelter,0,0,0,0,0,0,17,14,1,0,0,315,264,3,7,0,0,0,0,0,0,0,0,281,17,8,0,131,Champaign,2012,Catsnap,Savoy,61874,Animal Shelter,0,0,0,0,0,0,7,7,0,0,0,47,173,161,1,9,49,0,0,0,0,0,0,180,168,1,9
18,134,Champaign,2010,12439,Cattails Feline Rescue,Urbana,61802,Animal Shelter,0,0,60,153,0,0,0,0,0,0,0,0,213,218,0,0,0,0,0,0,0,0,0,213,218,0,0,1728,McLean,2012,Cattails Feline Rescue,Leroy,61752,Animal Shelter,0,0,47,152,0,0,0,0,0,0,0,0,299,299,0,0,0,0,0,0,0,0,0,299,299,0,0
19,136,Champaign,2010,11647,Champaign County Animal Services,Urbana,61820,Animal Control,0,0,0,0,0,0,1172,200,507,465,0,0,884,421,49,414,0,0,17,10,1,6,0,2073,631,557,885,135,Champaign,2012,Champaign County Animal Services,Urbana,61820,Animal Control,0,0,0,0,0,0,910,203,360,338,0,0,641,347,42,238,0,0,25,21,2,2,0,1576,571,404,578
20,139,Champaign,2010,19,Champaign County Humane Society,Urbana,61802,Animal Shelter,0,0,0,0,0,0,925,628,16,273,0,0,957,670,14,273,0,0,151,130,0,10,0,2033,1428,30,556,138,Champaign,2012,Champaign County Humane Society,Urbana,61802,Animal Shelter,413,145,385,259,146,35,829,558,32,195,22,104,870,644,20,182,84,23,170,145,2,11,18,1869,1347,54,388
21,142,Champaign,2010,12837,Feathered Friends Rescue & Rehab,Champaign,61822,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,68,0,0,0,70,68,0,0,141,Champaign,2012,Feathered Friends Rescue & Rehab,Champaign,61822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,20,0,0,14,34,20,0,0
22,146,Champaign,2010,10984,Prairieland Anti-Cruelty Program,Champaign,61822,Animal Shelter,0,0,0,0,0,0,9,7,0,7,0,0,304,122,0,90,0,0,0,0,0,0,0,313,129,0,97,145,Champaign,2012,Prairieland Anti-Cruelty Program,Champaign,61822,Animal Shelter,0,0,0,0,0,2,2,4,0,0,0,76,186,175,0,22,65,0,3,3,0,0,0,191,182,0,22
23,149,Champaign,2010,22,Rantoul Dog Pound,Rantoul,61866,Animal Control,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,148,Champaign,2012,Rantoul Dog Pound,Rantoul,61866,Animal Control,0,0,0,0,0,7,7,0,0,0,7,1,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0
24,152,Champaign,2010,11459,Wing of Wonder Avian Rescue,Mahomet,61853,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,32,0,2,0,64,32,0,2,151,Champaign,2012,Wing of Wonder Avian Rescue,Mahomet,61853,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,20,2,1,42,40,20,2,1
25,170,Christian,2010,29,Christian County Animal Control,Taylorville,62568,Animal Control,0,0,0,0,0,0,221,144,51,26,0,0,50,36,5,9,0,0,0,0,0,0,0,271,180,56,35,168,Christian,2012,Christian County Animal Control,Taylorville,62568,Animal Control,0,0,0,0,0,0,204,114,62,28,0,0,9,9,0,0,0,0,0,0,0,0,0,213,123,62,28
26,172,Christian,2010,8278,City of Assumption,Assumption,62510,Animal Control,0,0,0,0,0,0,10,0,10,0,0,0,5,0,5,0,0,0,0,0,0,0,0,15,0,15,0,171,Christian,2012,City of Assumption,Assumption,62510,Animal Control,0,0,0,0,0,0,10,0,10,0,0,0,2,0,2,0,0,0,0,0,0,0,0,12,0,12,0
27,180,Clark,2010,7961,Baird's Pound,Martinsville,62442,Animal Control,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,182,Clark,2012,Baird's Pound,Martinsville,62442,Animal Control,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0
28,184,Clark,2010,6577,Bender's Townhouse Kennels,West Union,62477,Animal Control,0,0,0,0,0,0,168,89,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,168,89,21,46,186,Clark,2012,Bender's Townhouse Kennels,West Union,62477,Animal Control,0,0,0,0,0,0,248,145,53,37,13,0,0,0,0,0,0,0,0,0,0,0,0,248,145,53,37
