,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
0,1,Adams,2010,5531,Adams County Animal Shelter,Quincy,62305,Animal Control,0,0,0,0,0,0,295,223,65,7,0,0,26,26,0,0,0,0,10,4,1,5,0,331,253,66,12,2,Adams,2011,Adams County Animal Shelter,Quincy,62305,Animal Control,0,0,0,0,0,0,250,147,95,8,0,0,7,6,0,1,0,0,10,1,0,9,0,267,154,95,18
1,5,Adams,2010,13357,City of Quincy Animal Shelter,Quincy,62301,Animal Control,0,0,0,0,0,0,531,266,265,141,0,0,757,85,24,648,0,0,29,27,0,2,0,1317,378,289,791,6,Adams,2011,City of Quincy Animal Shelter,Quincy,62301,Animal Control,0,0,0,0,0,0,907,385,386,136,0,0,851,284,33,534,0,0,14,8,0,6,0,1772,677,419,676
2,9,Adams,2010,5700,Quincy Humane Society,Quincy,62305,Animal Shelter,0,0,0,0,0,0,593,253,4,4,0,0,347,321,0,27,0,0,26,25,0,1,0,966,599,4,32,10,Adams,2011,Quincy Humane Society,Quincy,62305,Animal Shelter,0,0,0,0,0,32,594,575,4,4,36,31,347,321,0,27,32,32,37,34,0,1,3,978,930,4,32
3,12,Adams,2010,14089,Quincy K-9 Connection,Quincy,62305,Animal Shelter,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,13,Adams,2011,Quincy K-9 Connection,Quincy,62305,Animal Shelter,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,34,Bond,2010,12864,Bond County Humane Society,Greenville,62246,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,61,52,0,4,0,0,0,0,0,0,0,61,52,0,4,37,Bond,2011,Bond County Humane Society,Greenville,62246,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,45,85,67,1,7,27,0,0,0,0,0,0,85,67,1,7
5,40,Bond,2010,4351,Bond County/City of Greenville,Greenville,62246,Animal Control,0,0,0,0,0,0,189,0,66,108,0,0,40,0,1,39,0,0,0,0,0,0,0,229,0,67,147,41,Bond,2011,Bond County/City of Greenville,Greenville,62246,Animal Control,0,0,0,0,0,5,159,14,70,71,4,0,0,0,0,0,0,0,0,0,0,0,0,159,14,70,71
6,53,Boone,2010,3508,Boone County Animal Control,Belvidere,61008,Animal Control,0,0,0,0,0,0,416,40,286,90,0,0,39,0,0,39,0,0,12,2,0,10,0,467,42,286,139,54,Boone,2011,Boone County Animal Control,Belvidere,61008,Animal Control,0,0,0,0,0,0,403,101,199,103,0,0,37,1,0,36,0,0,18,2,0,16,0,458,104,199,155
7,58,Boone,2010,12181,Fresh Start Animal Rescue Inc.,Belvidere,61008,Animal Shelter,0,0,0,0,0,0,476,422,0,2,0,0,133,129,0,3,0,0,0,0,0,0,0,609,551,0,5,59,Boone,2011,Fresh Start Animal Rescue Inc.,Belvidere,61008,Animal Shelter,0,0,0,0,0,52,343,362,0,8,25,20,92,95,0,1,16,0,0,0,0,0,0,435,457,0,9
8,61,Boone,2010,7126,Roscoe Animal Retreat,Roscoe,61073,Animal Shelter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62,Boone,2011,Roscoe Animal Retreat,Roscoe,61073,Animal Shelter,0,0,0,0,0,25,50,50,0,0,25,250,200,200,1,0,250,0,0,0,0,0,0,250,250,1,0
9,72,Brown,2010,6181,Brown County Animal Control,Mt. Sterling,62353,Animal Control,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,73,Brown,2011,Brown County Animal Control,Mt. Sterling,62353,Animal Control,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
