,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
0,1,Adams,2010,5531,Adams County Animal Shelter,Quincy,62305,Animal Control,0,0,0,0,0,0,295,223,65,7,0,0,26,26,0,0,0,0,10,4,1,5,0,331,253,66,12,16,Adams,2013,Adams County Animal Shelter,Quincy,62305,Animal Control,0,0,0,0,0,0,161,68,86,7,0,0,2,2,0,0,0,0,0,0,0,0,0,163,70,86,7
1,5,Adams,2010,13357,City of Quincy Animal Shelter,Quincy,62301,Animal Control,0,0,0,0,0,0,531,266,265,141,0,0,757,85,24,648,0,0,29,27,0,2,0,1317,378,289,791,15,Adams,2013,City of Quincy Animal Shelter,Quincy,62301,0,0,0,0,0,0,0,516,232,243,41,0,0,503,180,13,310,0,0,15,7,1,7,0,1034,419,257,358
2,9,Adams,2010,5700,Quincy Humane Society,Quincy,62305,Animal Shelter,0,0,0,0,0,0,593,253,4,4,0,0,347,321,0,27,0,0,26,25,0,1,0,966,599,4,32,19,Adams,2013,Quincy Humane Society,Quincy,62305,Animal Shelter,0,0,0,0,0,27,402,409,0,2,27,24,364,323,0,26,34,0,0,0,0,0,0,766,732,0,28
3,9,Adams,2010,5700,Quincy Humane Society,Quincy,62305,Animal Shelter,0,0,0,0,0,0,593,253,4,4,0,0,347,321,0,27,0,0,26,25,0,1,0,966,599,4,32,29,Adams,2013,Quincy Humane Society,Quincy,62305,Animal Shelter,0,0,0,0,0,27,402,409,0,2,27,24,364,323,0,26,34,0,0,0,0,0,0,766,732,0,28
4,12,Adams,2010,14089,Quincy K-9 Connection,Quincy,62305,Animal Shelter,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,21,Adams,2013,Quincy K-9 Connection,Quincy,62305,Animal Shelter,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,Adams,2010,14089,Quincy K-9 Connection,Quincy,62305,Animal Shelter,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,30,Adams,2013,Quincy K-9 Connection,Quincy,62305,Animal Shelter,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,34,Bond,2010,12864,Bond County Humane Society,Greenville,62246,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,61,52,0,4,0,0,0,0,0,0,0,61,52,0,4,42,Bond,2013,Bond County Humane Society,Greenville,62246,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,45,69,85,0,0,29,0,0,0,0,0,0,69,85,0,0
7,34,Bond,2010,12864,Bond County Humane Society,Greenville,62246,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,61,52,0,4,0,0,0,0,0,0,0,61,52,0,4,50,Bond,2013,Bond County Humane Society,Greenville,62246,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,45,69,85,0,0,29,0,0,0,0,0,0,69,85,0,0
8,40,Bond,2010,4351,Bond County/City of Greenville,Greenville,62246,Animal Control,0,0,0,0,0,0,189,0,66,108,0,0,40,0,1,39,0,0,0,0,0,0,0,229,0,67,147,39,Bond,2013,Bond County/City of Greenville,Greenville,62246,Animal Control,0,0,0,0,0,1,62,0,20,28,0,0,15,0,0,15,0,0,0,0,0,0,0,77,0,20,43
9,53,Boone,2010,3508,Boone County Animal Control,Belvidere,61008,Animal Control,0,0,0,0,0,0,416,40,286,90,0,0,39,0,0,39,0,0,12,2,0,10,0,467,42,286,139,56,Boone,2013,Boone County Animal Services,Belvidere,61008,Animal Control,0,0,0,0,0,0,363,83,172,108,0,0,167,118,1,48,0,0,10,9,0,1,0,540,210,173,157
10,53,Boone,2010,3508,Boone County Animal Control,Belvidere,61008,Animal Control,0,0,0,0,0,0,416,40,286,90,0,0,39,0,0,39,0,0,12,2,0,10,0,467,42,286,139,63,Boone,2013,Boone County Animal Services,Belvidere,61008,Animal Control,0,0,0,0,0,0,363,83,172,108,0,0,167,118,1,48,0,0,10,9,0,1,0,540,210,173,157
11,58,Boone,2010,12181,Fresh Start Animal Rescue Inc.,Belvidere,61008,Animal Shelter,0,0,0,0,0,0,476,422,0,2,0,0,133,129,0,3,0,0,0,0,0,0,0,609,551,0,5,69,Boone,2013,"Fresh Start Animal Rescue, Inc.",Belvidere,61008,Animal Shelter,102,310,66,97,0,24,417,412,0,3,26,18,198,163,0,4,49,0,1,1,0,0,0,616,576,0,7
12,61,Boone,2010,7126,Roscoe Animal Retreat,Roscoe,61073,Animal Shelter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70,Boone,2013,Roscoe Animal Retreat,Roscoe,61073,Animal Shelter,0,0,0,0,0,12,6,2,4,0,6,200,11,10,1,0,200,0,0,0,0,0,0,17,12,5,0
